post_title,seo_page_title,categoryParent,author_name,post_date,imageDesktop650,imageMobile320,categoryChild,post_url,scraped_at
AP Bren Menang Telak Atas Burmese Ghouls di Laga Pembuka M5,AP Bren Menang Telak Atas Burmese Ghouls di Laga Pembuka M5,Esports,Amalia Septiyani,2023-12-02 15:39:38,2023/12/Screenshot_20231202_152622_Instagram-641x360.jpg,2023/12/Screenshot_20231202_152622_Instagram-320x180.jpg,Mobile Legends,esports/mobile-legends/ap-bren-menang-telak-atas-burmese-ghouls-di-laga-pembuka-m5,2023-12-08 16:34:50
"Anime Chained Soldier: Tanggal Rilis, Pemeran, dan Lainnya","Anime Chained Soldier: Tanggal Rilis, Pemeran, dan Lainnya",Geek,Ahwil Rizky Muhammad,2023-12-02 15:30:30,2023/12/Tanggal-Rilis-Anime-Chained-Soldier-Featured-640x360.jpg,2023/12/Tanggal-Rilis-Anime-Chained-Soldier-Featured-320x180.jpg,Anime Manga,geek/anime-manga/anime-chained-soldier-tanggal-rilis-pemeran-dan-lainnya,2023-12-08 16:34:50
Tips Map Sunset Valorant yang Bisa Kamu Coba Sekarang,Tips Map Sunset Valorant yang Bisa Kamu Coba Sekarang,Esports,Retna Kumalasari,2023-12-02 15:00:48,2023/09/featured-6-640x360.jpg,2023/09/featured-6-320x180.jpg,Valorant,esports/valorant/menangkan-permainan-dengan-tips-map-sunset-valorant-berikut-ini,2023-12-08 16:34:50
Cara Melawan Kulve Taroth Monster Hunter World,,Geek,Dwi Ayu,2023-12-02 14:30:17,2023/11/D-35-640x360.jpg,2023/11/D-35-320x180.jpg,Game,geek/game/cara-melawan-kulve-taroth-monster-hunter-world,2023-12-08 16:34:50
Sensitivitas Free Fire (FF) Auto Headshot 2023,Sensitivitas Free Fire (FF) Auto Headshot 2023,Esports,Ahwil Rizky Muhammad,2023-12-02 14:00:15,2023/06/Karakter-Ter-OP-di-Free-Fire-2023-5-640x360.jpg,2023/06/Karakter-Ter-OP-di-Free-Fire-2023-5-320x180.jpg,Free Fire,esports/free-fire/sensitivitas-free-fire-ff-auto-headshot-2023,2023-12-08 16:34:50
5 Karakter Underrated yang Sebenarnya OP di Game Reverse 1999,,Geek,Elang,2023-12-02 13:30:52,2023/11/D-38-640x360.jpg,2023/11/D-38-320x180.jpg,Game,geek/game/5-karakter-underrated-yang-sebenarnya-op-di-game-reverse-1999,2023-12-08 16:34:50
Masalah yang Kerap Dihadapi ketika Berada di Luar Zona PUBG Mobile!,Masalah yang Kerap Dihadapi ketika Berada di Luar Zona PUBG Mobile!,Esports,Ari Fathurriza,2023-12-02 13:00:47,2022/09/SampulKelemahanMusuhdiLuarZona-640x360.jpg,2022/09/SampulKelemahanMusuhdiLuarZona-320x180.jpg,PUBG Mobile,esports/pubg-mobile/kelemahan-musuh-luar-zona-pubg-mobile,2023-12-08 16:34:50
Inilah Achievement Rahasia di Genshin Impact dengan Hadiah Besar,Inilah Achievement Rahasia di Genshin Impact dengan Hadiah Besar,Geek,Elang,2023-12-02 12:30:16,2023/12/E-7-640x360.jpg,2023/12/E-7-320x180.jpg,Game,geek/game/achievement-rahasia-genshin-impact-hadiah-besar,2023-12-08 16:34:50
Fakta Menarik! Jumlah Pemain Filipina Dominasi M5 World Championship,Fakta Menarik! Jumlah Pemain Filipina Dominasi M5 World Championship,Esports,Retna Kumalasari,2023-12-02 12:13:40,2023/12/Pemain-Filipina-Dominasi-M5-featured-640x360.jpg,2023/12/Pemain-Filipina-Dominasi-M5-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/pemain-filipina-dominasi-m5,2023-12-08 16:34:50
"Hero Counter Fredrinn MLBB Terbaik, Ampuh Banget!","Hero Counter Fredrinn MLBB Terbaik, Ampuh Banget!",Esports,Ahwil Rizky Muhammad,2023-12-02 12:00:50,2023/06/Hero-Counter-Fredrinn-MLBB-Terbaik-Featured-640x360.jpg,2023/06/Hero-Counter-Fredrinn-MLBB-Terbaik-Featured-320x180.jpg,Mobile Legends,esports/mobile-legends/hero-counter-fredrinn-mlbb-terbaik,2023-12-08 16:34:50
Daftar Monster Raksasa Paling Besar di Monster Hunter,,Geek,Dwi Ayu,2023-12-02 11:30:04,2023/11/D-36-640x360.jpg,2023/11/D-36-320x180.jpg,Game,geek/game/daftar-monster-raksasa-paling-besar-di-monster-hunter,2023-12-08 16:34:50
Penjelasan Watcher di Dota 2 yang Wajib Kamu Ketahui!,Penjelasan Watcher di Dota 2 yang Wajib Kamu Ketahui!,Esports,LORD,2023-12-02 11:00:28,2023/11/penjelasan-watcher-di-dota-2-641x360.jpg,2023/11/penjelasan-watcher-di-dota-2-320x180.jpg,Dota 2,esports/dota-2/penjelasan-watcher-di-dota,2023-12-08 16:34:50
Path Simulated Universe Honkai Star Rail dan Fungsinya,,Geek,Dwi Ayu,2023-12-02 10:30:32,2023/11/D-32-640x360.jpg,2023/11/D-32-320x180.jpg,Game,geek/game/path-simulated-universe-honkai-star-rail-dan-fungsinya,2023-12-08 16:34:50
Tyler1 Kecewa dengan Keadaan League of Legends Saat Ini,Tyler1 Kecewa dengan Keadaan League of Legends Saat Ini,Esports,Mallasak,2023-12-02 10:00:10,2023/12/Credit--640x360.jpg,2023/12/Credit--320x180.jpg,Esports Lain,esports/esports-lain/tyler1-kecewa-dengan-keadaan-league-of-legends-saat-ini,2023-12-08 16:34:50
"Game Under The Waves, Pengalaman Baru Menjelajah Laut Dalam",,Geek,Dwi Ayu,2023-12-02 09:30:20,2023/11/D-26-640x360.jpg,2023/11/D-26-320x180.jpg,Game,geek/game/game-under-the-waves-pengalaman-baru-menjelajah-laut-dalam,2023-12-08 16:34:50
Jadwal dan Hasil Play-in Hingga Grand Final Liga Esports Nasional (LEN) 2023,Jadwal Play-in Hingga Grand Final Liga Esports Nasional (LEN) 2023,Esports,Jefri Sibarani,2023-12-02 09:15:29,2023/12/liga-esports-nasional-len-2023-640x360.jpg,2023/12/liga-esports-nasional-len-2023-320x180.jpg,Mobile Legends,esports/mobile-legends/jadwal-play-in-grand-final-liga-esports-nasional-len-2023,2023-12-08 16:34:50
"Tips Mudah Melakukan Silent Jump di Valorant, Ini Caranya!",Gimana Caranya Melakukan Silent Jump di Valorant? Berikut Tipsnya,Esports,LORD,2023-12-02 09:00:18,2023/11/silent-jump-di-valorant-featured-640x360.jpg,2023/11/silent-jump-di-valorant-featured-320x180.jpg,Valorant,esports/valorant/silent-jump-di-valorant,2023-12-08 16:34:50
"Anime Astro Note, Kisah Cinta Koki Sci Fi yang Rilis April 2024",,Geek,Arini Rizki Fauziah,2023-12-01 21:00:11,2023/12/anime-astro-note-feature-640x360.jpg,2023/12/anime-astro-note-feature-320x180.jpg,Anime Manga,geek/anime-manga/anime-astro-note-kisah-cinta-koki-sci-fi-yang-rilis-april-2024,2023-12-08 16:34:50
Power Bank Mythia Batford Akan Dihadirkan Fantech Smart Life,Power Bank Mythia Batford Akan Dihadirkan Fantech Smart Life,Tekno,Mecca Medina,2023-12-01 20:30:53,2023/12/power-bank-mythia-batford-featured-640x360.jpg,2023/12/power-bank-mythia-batford-featured-320x180.jpg,Gadget,tekno/gadget/fantech-power-bank-mythia-batford,2023-12-08 16:34:50
Tsuburaya Umumkan Projek Terbaru School Girl vs Ultraman,,Geek,Ahwil Rizky Muhammad,2023-12-01 20:00:09,2023/12/Projek-Baru-School-Girl-vs-Ultraman-Featured-640x360.jpg,2023/12/Projek-Baru-School-Girl-vs-Ultraman-Featured-320x180.jpg,Film,geek/film/tsuburaya-umumkan-projek-terbaru-school-girl-vs-ultraman,2023-12-08 16:34:50
Mengenal Pembagian Class Champion di Teamfight Tactics (TFT) Mobile,Class Champion Teamfight Tactics (TFT) Mobile Dibagi Jadi Banyak Jenis,Esports,iqbal nuril,2023-12-01 19:30:42,2023/12/Mengenal-Pembagian-Class-Champion-di-Teamfight-Tactics-TFT-Mobile-640x360.jpg,2023/12/Mengenal-Pembagian-Class-Champion-di-Teamfight-Tactics-TFT-Mobile-320x180.jpg,Esports Lain,esports/esports-lain/class-champion-teamfight-tactics,2023-12-08 16:34:50
"Arteezy Sebut Komunitas Twitch ""Super Negatif"", Apa Alasannya?","Arteezy Sebut Komunitas Twitch ""Super Negatif"", Apa Alasannya?",Esports,Mallasak,2023-12-01 19:00:03,2023/12/Credit-4-640x360.jpg,2023/12/Credit-4-320x180.jpg,Esports Lain,esports/esports-lain/arteezy-twitch-kick,2023-12-08 16:34:50
Tips Menggunakan Psychubes di Game Reverse 1999,"Tips Psychubes Reverse 1999, Bisa Perkuat Karakter",Geek,Elang,2023-12-01 18:30:45,2023/11/E-118-640x360.jpg,2023/11/E-118-320x180.jpg,Game,geek/game/tips-psychubes-reverse-1999,2023-12-08 16:34:50
Ingin Sembunyikan History Match Mobile Legends? Begini Cara Mengubahnya!,Ingin Sembunyikan History Match Mobile Legends? Begini Caranya!,Esports,Retna Kumalasari,2023-12-01 18:00:43,2023/12/History-Match-featured-640x360.jpg,2023/12/History-Match-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/history-match-mobile-legends,2023-12-08 16:34:50
Free Fire Umumkan Kolaborasi Terbaru dengan Automobili Lamborghini,Kolaborasi Free Fire-Lamborghini Segera Dimulai!,Esports,Amalia Septiyani,2023-12-01 17:30:25,2023/12/20231201_145658-640x360.jpg,2023/12/20231201_145658-320x180.jpg,Free Fire,esports/free-fire/kolaborasi-free-fire-lamborghini,2023-12-08 16:34:50
"ONIC M5 Watch Party Diadakan di 8 Kota Besar, Ini Jadwalnya","ONIC M5 Watch Party Diadakan di 8 Kota Besar, Ini Jadwalnya",Esports,Mecca Medina,2023-12-01 17:00:52,2023/12/onic-m5-watch-party-featured-640x360.jpg,2023/12/onic-m5-watch-party-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/onic-m5-watch-party,2023-12-08 16:34:50
Tips Terbaik Menaikkan Resonate Reverse 1999,,Geek,Elang,2023-12-01 16:30:54,2023/11/E-114-640x360.jpg,2023/11/E-114-320x180.jpg,Game,geek/game/tips-terbaik-menaikkan-resonate-reverse-1999,2023-12-08 16:34:50
5 Solo Carry Agent yang Bisa Digunakan di Valorant,Agent Valorant Solo Carry yang Direkomendasikan untuk Gendong Tim,Esports,LORD,2023-12-01 16:00:15,2023/11/solo-carry-agent-featured-640x360.jpg,2023/11/solo-carry-agent-featured-320x180.jpg,Valorant,esports/valorant/agent-valorant-solo-carry,2023-12-08 16:34:50
Daftar Hero Fighter Penghancur Tank di Mobile Legends,,Esports,Elang,2023-12-01 15:30:03,2023/11/E-122-640x360.jpg,2023/11/E-122-320x180.jpg,Mobile Legends,esports/mobile-legends/daftar-hero-fighter-penghancur-tank-di-mobile-legends,2023-12-08 16:34:50
"Rekomendasi Game dari Adaptasi Film, Apa Saja?","Rekomendasi Game dari Adaptasi Film, Apa Saja?",Geek,Dwi Ayu,2023-12-01 15:00:56,2023/11/D-24-640x360.jpg,2023/11/D-24-320x180.jpg,Game,geek/game/rekomendasi-game-dari-adaptasi-film-apa-saja,2023-12-08 16:34:50
"Potret Pemain Chao Hui EDG di VCT Game Changers 2023, Jago dan Kawaii!",Potret Pemain Chao Hui EDG di VCT Game Changers 2023,Esports,Mecca Medina,2023-12-01 14:40:20,2023/12/Potret-Pemain-Chao-Hui-EDG-featured-640x360.jpg,2023/12/Potret-Pemain-Chao-Hui-EDG-featured-320x180.jpg,Valorant,esports/valorant/potret-pemain-chao-hui-edg-game-changers-2023,2023-12-08 16:34:50
"Lokasi Watch Party M5 di Kota-Kota Besar Indonesia, Ayo Ikutan!","Lokasi Watch Party M5 di Kota-Kota Besar Indonesia, Ayo Ikutan!",Esports,AI.da Lovelace,2023-12-01 14:20:53,2023/12/Lokasi-Watch-Party-M5-featured-640x360.jpg,2023/12/Lokasi-Watch-Party-M5-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/lokasi-watch-party-m5,2023-12-08 16:34:50
